equipment_type,area,dept,equip_num,acct_code,grouping1,maintenance_operation1,frequency1,grouping2,maintenance_operation2,frequency2,grouping3,maintenance_operation3,frequency3,grouping4,maintenance_operation4,frequency4,grouping5,maintenance_operation5,frequency5,grouping6,maintenance_operation6,frequency6
WF - Weigh Feeder,Raw Material,Mechanical,WF-302A,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
WS - Weigh Scale,Raw Material,Mechanical,WS-4,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
AC - Airslide,Raw Mill,Mechanical,AC-310,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,Raw Mill,Mechanical,AC-311,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,Raw Mill,Mechanical,AC-312,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,Raw Mill,Mechanical,AC-313,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,Raw Mill,Mechanical,AC-314,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AH - Airheater,Raw Mill,Mechanical,AH-330,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AP - Air Pulse Valve,Raw Mill,Mechanical,AP-310,70220,6,Monthly Inspection,1M,,,,,,,,,,,,,,,
AS - Air Separator,Raw Mill,Mechanical,AS-310A,70220,7,Monthly Inspection,1M,,,,7,Semi-Annual Oil Analysis,6M,,,,,,,,,
AS - Air Separator,Raw Mill,Mechanical,AS-310B,70220,7,Monthly Inspection,1M,,,,,,,,,,,,,,,
BT - Blender/Timer Valve,Raw Mill,Mechanical,B-310,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BT - Blender/Timer Valve,Raw Mill,Mechanical,B-311,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-305-1,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-1,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-10,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-11,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-12,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-2,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-3,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-4,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-5,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-6,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-7,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-8,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Raw Mill,Mechanical,BB-306-9,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BC - Bc Filter,Raw Mill,Mechanical,BC-309,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BC - Bc Filter,Raw Mill,Mechanical,BC-310,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-309,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-310,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-310,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-311,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-311,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-316,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-317,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-318,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-319,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,Raw Mill,Mechanical,BN-305 ,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,Raw Mill,Mechanical,BN-306 ,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,Raw Mill,Mechanical,BN-307,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,Raw Mill,Mechanical,BN-308,70220,8,Monthly Inspection,1M,,,,,,,,,,,,,,,
