equipment_type,area,dept,equip_num,acct_code,grouping1,maintenance_operation1,frequency1,grouping2,maintenance_operation2,frequency2,grouping3,maintenance_operation3,frequency3,grouping4,maintenance_operation4,frequency4,grouping5,maintenance_operation5,frequency5,grouping6,maintenance_operation6,frequency6
DG - Diverter Gate,Kiln,Mechanical,DVG-332,70320,43,Monthly Inspection,1M,,,,,,,,,,,,,,,
DG - Diverter Gate,Kiln,Mechanical,DVG-333,70320,43,Monthly Inspection,1M,,,,,,,,,,,,,,,
DG - Diverter Gate,Kiln,Mechanical,DVG-800,70320,43,Monthly Inspection,1M,,,,,,,,,,,,,,,
DG - Diverter Gate,Kiln,Mechanical,DVG-815,70320,43,Monthly Inspection,1M,,,,,,,,,,,,,,,
FN - Fan,Kiln,Mechanical,F-300,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-301,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-302,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-303,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-304,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-308,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-309,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-331,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-332,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-333,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-334,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-335,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-336,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-338,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-339,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-340,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-341,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-342,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-343,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-344,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-345,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-346,70320,44,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-330B,70320,45,Monthly Inspection,1M,,,,,,,,,,44,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-350,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-351,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-352A,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-360C ,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-361C,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-363B,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-364B,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-365B,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-366,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-367,70320,45,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-391B,70320,46,Monthly Inspection,1M,,,,,,,,,,46,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-391C,70320,46,Monthly Inspection,1M,,,,,,,,,,46,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-391D,70320,46,Monthly Inspection,1M,,,,,,,,,,46,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-391E,70320,46,Monthly Inspection,1M,,,,,,,46,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-391F,70320,46,Monthly Inspection,1M,,,,,,,46,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-368,70320,47,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-369,70320,47,Monthly Inspection,1M,,,,,,,45,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
FN - Fan,Kiln,Mechanical,F-370,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-371,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-372,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-381,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-382,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-383,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-384,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-385,70320,47,Monthly Inspection,1M,,,,,,,,,,46,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-392 ,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-393 ,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-394,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-395,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-396,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-397,70320,47,Monthly Inspection,1M,,,,,,,,,,47,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-803,70320,48,Monthly Inspection,1M,,,,,,,,,,48,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-810,70320,48,Monthly Inspection,1M,,,,,,,,,,48,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-815,70320,48,Monthly Inspection,1M,,,,,,,,,,48,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Kiln,Mechanical,F-930,70320,48,Monthly Inspection,1M,,,,,,,,,,48,Monthly Ultrasound-assisted Lubrication,1M,,,
HE - Heatexchanger,Kiln,Mechanical,HE-360,70320,49,Monthly Inspection,1M,,,,,,,,,,,,,,,
IC - Crusher,Kiln,Mechanical,IC-360,70320,50,Monthly Inspection,1M,50,Monthly Lubrication,1M,,,,,,,,,,,,
ID - Induction Fan,Kiln,Mechanical,ID-330A,70320,51,Monthly Inspection,1M,,,,51,Semi-Annual Oil Analysis,6M,51,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
ID - Induction Fan,Kiln,Mechanical,ID-350A,70320,52,Monthly Inspection,1M,,,,,,,52,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
ID - Induction Fan,Kiln,Mechanical,ID-360,70320,53,Monthly Inspection,1M,,,,53,Semi-Annual Oil Analysis,6M,51,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
IL - Inline Calciner,Kiln,Mechanical,ILC-330,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
IM - Injection Module,Kiln,Mechanical,IM-330,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
IM - Injection Module,Kiln,Mechanical,IM-331,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
KB - Kiln Burner,Kiln,Mechanical,KB-390B,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
KB - Kiln Burner,Kiln,Mechanical,KB-390C,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
KB - Kiln Burner,Kiln,Mechanical,KB-390D,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
KB - Kiln Burner,Kiln,Mechanical,KB-391A,70320,54,Monthly Inspection,1M,,,,,,,,,,,,,,,
KC - Clinker Cooler,Kiln,Mechanical,KC-360C,70320,55,Monthly Inspection,1M,,,,,,,55,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
KD - Kiln Drive Aux,Kiln,Mechanical,KDF-330A,70320,56,Monthly Inspection,1M,,,,,,,56,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
KE - Kiln Drive Electric,Kiln,Mechanical,KDM-330,70320,56,Monthly Inspection,1M,,,,,,,56,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
KL - Kiln Rotary,Kiln,Mechanical,KL-330,70320,56,Monthly Inspection,1M,,,,,,,56,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
KL - Kiln Rotary,Kiln,Mechanical,KS-333 ,70320,56,Monthly Inspection,1M,,,,,,,56,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
LS - Loading Spout,Kiln,Mechanical,LS-350,70320,57,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-330,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-331,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-334,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-335,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-351A,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-351B,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-354 ,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-355 ,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-360 ,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-361,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-362,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-363,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-364,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-365,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Kiln,Mechanical,P-366,70320,58,Monthly Inspection,1M,58,Monthly Lubrication,1M,,,,,,,,,,,,
PC - Precalciner Downdft,Kiln,Mechanical,PC-333,,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PB - Precalciner Burner,Kiln,Mechanical,PCB-330A,70320,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PB - Precalciner Burner,Kiln,Mechanical,PCB-330B,70320,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PB - Precalciner Burner,Kiln,Mechanical,PCB-330C,70320,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PB - Precalciner Burner,Kiln,Mechanical,PCB-330D,70320,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PB - Precalciner Burner,Kiln,Mechanical,PCB-336,70320,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PH - Preheater,Kiln,Mechanical,PH-330,70320,59,Monthly Inspection,1M,,,,,,,,,,,,,,,
PM - Pugmill,Kiln,Mechanical,PM-350,70320,60,Monthly Inspection,1M,60,Monthly Lubrication,1M,,,,,,,,,,,,
PM - Pugmill,Kiln,Mechanical,PM-351,70320,60,Monthly Inspection,1M,60,Monthly Lubrication,1M,,,,,,,,,,,,
PM - Pugmill,Kiln,Mechanical,PM-351A,70320,60,Monthly Inspection,1M,60,Monthly Lubrication,1M,,,,,,,,,,,,
PM - Pugmill,Kiln,Mechanical,PM-351B,70320,60,Monthly Inspection,1M,60,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-300,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-350,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-352,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-354,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-355,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-356,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-357,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-360,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-361,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-362,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-363,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-364,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-365,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-366,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-367,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-368,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Kiln,Mechanical,SC-369,70320,61,Monthly Inspection,1M,61,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Kiln,Mechanical,SF-300 ,70320,62,Monthly Inspection,1M,62,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Kiln,Mechanical,SF-350,70320,62,Monthly Inspection,1M,62,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Kiln,Mechanical,SF-351,70320,62,Monthly Inspection,1M,62,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Kiln,Mechanical,SF-352,70320,62,Monthly Inspection,1M,62,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Kiln,Mechanical,SF-355,70320,62,Monthly Inspection,1M,62,Monthly Lubrication,1M,,,,,,,,,,,,
SG - Slide Gate,Kiln,Mechanical,SG-300,70320,63,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Kiln,Mechanical,SG-390,70320,63,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Kiln,Mechanical,SG-930,70320,63,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Kiln,Mechanical,SG-931,70320,63,Monthly Inspection,1M,,,,,,,,,,,,,,,
SK - Stack,Kiln,Mechanical,SK-320,70320,64,Monthly Inspection,1M,,,,,,,,,,,,,,,
SK - Stack,Kiln,Mechanical,SK-350,70320,64,Monthly Inspection,1M,,,,,,,,,,,,,,,
SK - Stack,Kiln,Mechanical,SK-360,70320,64,Monthly Inspection,1M,,,,,,,,,,,,,,,
ST - Spray/Structural Tower,Kiln,Mechanical,ST-330,70320,65,Monthly Inspection,1M,,,,,,,,,,,,,,,
ST - Spray/Structural Tower,Kiln,Mechanical,ST-350,70320,65,Monthly Inspection,1M,,,,,,,,,,,,,,,
SV - Single Tip Valve,Kiln,Mechanical,STV-330,70320,66,Monthly Inspection,1M,,,,,,,,,,,,,,,
SV - Single Tip Valve,Kiln,Mechanical,STV-331,70320,66,Monthly Inspection,1M,,,,,,,,,,,,,,,
SV - Single Tip Valve,Kiln,Mechanical,STV-332,70320,66,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Kiln,Mechanical,VA-391A,70320,67,Monthly Inspection,1M,,,,,,,,,,,,,,,
VP - Valve Plattco/Tip,Kiln,Mechanical,VP-380,70320,68,Monthly Inspection,1M,68,Monthly Lubrication,1M,,,,,,,,,,,,
VP - Valve Plattco/Tip,Kiln,Mechanical,VP-381,70320,68,Monthly Inspection,1M,68,Monthly Lubrication,1M,,,,,,,,,,,,
VP - Valve Plattco/Tip,Kiln,Mechanical,VP-803A/B,70320,68,Monthly Inspection,1M,68,Monthly Lubrication,1M,,,,,,,,,,,,
VP - Valve Plattco/Tip,Kiln,Mechanical,VP-810A/B,70320,68,Monthly Inspection,1M,68,Monthly Lubrication,1M,,,,,,,,,,,,
VP - Valve Plattco/Tip,Kiln,Mechanical,VP-815A/B,70320,68,Monthly Inspection,1M,68,Monthly Lubrication,1M,,,,,,,,,,,,
VR - Valve Rotary/Gate,Kiln,Mechanical,VR-350,70320,69,Monthly Inspection,1M,69,Monthly Lubrication,1M,,,,,,,,,,,,
VR - Valve Rotary/Gate,Kiln,Mechanical,VR-355,70320,69,Monthly Inspection,1M,69,Monthly Lubrication,1M,,,,,,,,,,,,
VR - Valve Rotary/Gate,Kiln,Mechanical,VR-361,70320,69,Monthly Inspection,1M,69,Monthly Lubrication,1M,,,,,,,,,,,,
WS - Weigh Scale,Kiln,Mechanical,WS-360,70320,70,Monthly Inspection,1M,70,Monthly Lubrication,1M,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-054,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-054A,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-50,70610,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-51,70610,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-1,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-10,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-11,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-12,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-13,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-14,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-15,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-16,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-17,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-17A,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-18,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-18A,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-19,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-52,70610,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-2,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-20,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-21,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-22,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-23,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-24,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-25,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-3,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-4,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-5,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-5B,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-6,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-7,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-8,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AC - Airslide,FM-5,Mechanical,AC-5-9,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
HP - Hopper,FM-5,Mechanical,HP-52,70450,71,Monthly Inspection,1M,,,,,,,,,,,,,,,
AS - Air Separator,FM-5,Mechanical,AS-6,70450,72,Monthly Inspection,1M,,,,72,Semi-Annual Oil Analysis,6M,,,,,,,,,
BC - Bc Filter,FM-5,Mechanical,BC-6,70450,73,Monthly Inspection,1M,,,,,,,,,,,,,,,
BE - Bucket Elevator,FM-5,Mechanical,BE-18,70450,74,Monthly Inspection,1M,74,Monthly Lubrication,1M,74,Semi-Annual Oil Analysis,6M,,,,,,,74,Quarterly Wear Measurement,3M
BN - Bin,FM-5,Mechanical,BN-24 ,70450,75,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,FM-5,Mechanical,BN-26 ,70450,75,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,FM-5,Mechanical,BN-27 ,70450,75,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,FM-5,Mechanical,BN-28 ,70450,75,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,FM-5,Mechanical,BN-54,70450,75,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,FM-5,Mechanical,BN-56,70450,75,Monthly Inspection,1M,,,,,,,,,,,,,,,
C - Conveyor,FM-5,Mechanical,C-52,70450,76,Monthly Inspection,1M,76,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,FM-5,Mechanical,C-57,70450,76,Monthly Inspection,1M,76,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,FM-5,Mechanical,CA-036A ,70450,78,Monthly Inspection,1M,78,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,FM-5,Mechanical,CA-12,70450,78,Monthly Inspection,1M,78,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,FM-5,Mechanical,CA-53 ,70450,78,Monthly Inspection,1M,78,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,FM-5,Mechanical,CA-54 ,70450,78,Monthly Inspection,1M,78,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,FM-5,Mechanical,CA-55A ,70450,78,Monthly Inspection,1M,,,,,,,,,,,,,,,
